,始发地,目的地,所在航空公司,航班号,始发机场,目的机场,起飞时间,落地时间,机票价格,数据来源
0,上海,广州,上海航空,FM9301,虹桥国际机场,白云机场,07:30,10:00,860,东方航空
1,上海,广州,东方航空,MU9301,虹桥国际机场,白云机场,07:30,10:00,860,东方航空
2,上海,广州,东方航空,MU5539,虹桥国际机场,白云机场,08:05,10:25,950,东方航空
3,上海,广州,上海航空,FM9305,虹桥国际机场,白云机场,08:30,10:55,950,东方航空
4,上海,广州,东方航空,MU9305,虹桥国际机场,白云机场,08:30,10:55,950,东方航空
5,上海,广州,上海航空,FM9303,虹桥国际机场,白云机场,09:00,11:30,950,东方航空
6,上海,广州,东方航空,MU5301,虹桥国际机场,白云机场,09:30,11:55,950,东方航空
7,上海,广州,东方航空,MU5393,虹桥国际机场,白云机场,10:05,12:25,950,东方航空
8,上海,广州,上海航空,FM9307,虹桥国际机场,白云机场,10:30,12:55,950,东方航空
9,上海,广州,东方航空,MU9307,虹桥国际机场,白云机场,10:30,12:55,950,东方航空
10,上海,广州,东方航空,MU5303,虹桥国际机场,白云机场,11:30,14:00,950,东方航空
11,上海,广州,东方航空,MU5305,虹桥国际机场,白云机场,12:30,15:05,950,东方航空
12,上海,广州,上海航空,FM9309,虹桥国际机场,白云机场,13:30,15:55,950,东方航空
13,上海,广州,东方航空,MU9309,虹桥国际机场,白云机场,13:30,15:55,950,东方航空
14,上海,广州,东方航空,MU5307,虹桥国际机场,白云机场,14:30,16:55,950,东方航空
15,上海,广州,上海航空,FM9313,虹桥国际机场,白云机场,15:30,17:55,950,东方航空
16,上海,广州,东方航空,MU9313,虹桥国际机场,白云机场,15:30,17:55,950,东方航空
17,上海,广州,上海航空,FM9527,浦东国际机场,白云机场,16:30,18:50,740,东方航空
18,上海,广州,东方航空,MU9527,虹桥国际机场,白云机场,16:30,18:50,740,东方航空
19,上海,广州,东方航空,MU5309,虹桥国际机场,白云机场,16:30,19:05,950,东方航空
20,上海,广州,上海航空,FM9315,虹桥国际机场,白云机场,17:25,20:05,700,东方航空
21,上海,广州,东方航空,MU9315,虹桥国际机场,白云机场,17:25,20:05,700,东方航空
22,上海,广州,上海航空,FM9327,虹桥国际机场,白云机场,18:30,21:00,售完,东方航空
23,上海,广州,东方航空,MU9327,虹桥国际机场,白云机场,18:30,21:00,售完,东方航空
24,上海,广州,东方航空,MU5311,虹桥国际机场,白云机场,19:30,21:50,950,东方航空
25,上海,广州,东方航空,MU5313,虹桥国际机场,白云机场,20:35,23:00,380,东方航空
26,上海,广州,东方航空,MU5315,虹桥国际机场,白云机场,22:25,00:45,380,东方航空
27,上海,广州,吉祥航空,HO1077,虹桥国际机场,白云机场,08:00,10:15,500,东方航空
28,上海,广州,东方航空,MU3157,虹桥国际机场,白云机场,10:50,13:15,"1,160",东方航空
29,上海,广州,东方航空,MU3156,虹桥国际机场,白云机场,11:50,14:20,"1,160",东方航空
30,上海,广州,东方航空,MU3159,虹桥国际机场,白云机场,15:50,18:15,"1,160",东方航空
31,上海,广州,吉祥航空,HO1287,虹桥国际机场,白云机场,18:05,20:20,500,东方航空
