上海,广州,吉祥航空,HO1077,虹桥T2,白云T1,08:00,10:15,465,吉祥航空
上海,广州,吉祥航空,HO1287,虹桥T2,白云T1,18:05,20:20,495,吉祥航空
上海,广州,吉祥航空,MU5539,虹桥T2,白云T1,08:05,10:25,960,吉祥航空
上海,广州,吉祥航空,MU5301,虹桥T2,白云T1,09:30,11:55,960,吉祥航空
上海,广州,吉祥航空,MU5393,虹桥T2,白云T1,10:05,12:25,960,吉祥航空
上海,广州,吉祥航空,MU5303,虹桥T2,白云T1,11:30,14:00,960,吉祥航空
上海,广州,吉祥航空,MU5305,虹桥T2,白云T1,12:30,15:05,960,吉祥航空
上海,广州,吉祥航空,MU5307,虹桥T2,白云T1,14:30,16:55,960,吉祥航空
上海,广州,吉祥航空,MU5309,虹桥T2,白云T1,16:30,19:05,960,吉祥航空
上海,广州,吉祥航空,MU5311,虹桥T2,白云T1,19:30,21:50,960,吉祥航空
上海,广州,吉祥航空,MU5313,虹桥T2,白云T1,20:35,23:00,710,吉祥航空
上海,广州,吉祥航空,MU5315,虹桥T2,白云T1,22:25,00:45+1,710,吉祥航空
