始发地,目的地,航空公司,航班号,始发机场,到达机场,起飞时间,到达时间,机票价格,数据来源
广州,北京,南方航空,CZ3099,白云国际机场,白云国际机场,09:00,12:10,380,携程
广州,北京,中国国航,CA1330,白云国际机场,白云国际机场,10:30,13:40,380,携程
广州,北京,东方航空,MU5182,白云国际机场,白云国际机场,11:50,14:55,345,携程
广州,北京,南方航空,CZ3103,白云国际机场,白云国际机场,12:00,15:05,380,携程
广州,北京,中国国航,CA1322,白云国际机场,白云国际机场,13:40,16:50,380,携程
广州,北京,中国联合航空,KN5898,白云国际机场,白云国际机场,14:10,17:15,228,携程
广州,北京,中国国航,CA1316,白云国际机场,白云国际机场,15:40,18:50,380,携程
广州,北京,南方航空,CZ3115,白云国际机场,白云国际机场,16:00,19:10,380,携程
广州,北京,天津航空,GS5808,白云国际机场,白云国际机场,17:00,20:20,970,携程
广州,北京,海南航空,HU7808,白云国际机场,白云国际机场,17:00,20:20,295,携程
广州,北京,中国国航,CA1328,白云国际机场,白云国际机场,18:40,21:50,350,携程
广州,北京,东方航空,MU5282,白云国际机场,白云国际机场,20:50,23:55,295,携程
广州,北京,中国联合航空,KN5830,白云国际机场,白云国际机场,16:45,22:20,684,携程
广州,北京,厦门航空,MF1001,白云国际机场,白云国际机场,09:00,12:10,1370,携程
广州,北京,厦门航空,MF1005,白云国际机场,白云国际机场,12:00,15:05,1370,携程
广州,北京,厦门航空,MF1017,白云国际机场,白云国际机场,16:00,19:10,1370,携程
